text,label
과학 수행평가 준비했어?,1
[CJ대한통운] 비밀번호 만료 예정 https://verify-user.net,3
과학 수행평가 준비했어?,1
[쿠팡] 계좌 이용 제한 예정,4
저녁 먹고 들어와.,0
자료 메일로 보냈습니다.,1
[국세청] 해외 결제 승인 확인 https://bit.ly/4A12BC,4
[국민은행] 환급금 지급 대상,4
저녁 먹고 들어와.,0
[국세청] 계좌 이용 제한 예정 https://secure-check.kr,4
[CJ대한통운] 해외 결제 승인 확인,4
[국세청] 비정상 로그인 감지,4
[국세청] 주문 결제 오류,2
[카카오] 환급금 지급 대상,4
내일 모의고사 범위 알려줘.,1
내일 모의고사 범위 알려줘.,1
[신한은행] 배송지 정보 확인 필요,2
[카카오] 본인 인증 필요,3
[쿠팡] 전자문서 도착 https://tinyurl.com/abc123,4
[카카오] 주문 결제 오류,2
[우체국] 쿠폰 지급 대상,2
[신한은행] 계정 보호를 위해 재인증 https://verify-user.net,3
내일 모의고사 범위 알려줘.,1
[국세청] 주소 오류로 배송 보류 https://tinyurl.com/abc123,2
[CJ대한통운] 계정 보호를 위해 재인증 https://secure-check.kr,3
내일 모의고사 범위 알려줘.,1
[정부24] 배송지 정보 확인 필요 https://bit.ly/4A12BC,2
[CJ대한통운] 배송 완료 전 본인 확인 필요,2
과학 수행평가 준비했어?,1
조심히 와.,0
[정부24] 과태료 조회 안내,4
오늘 게임할래?,0
자료 메일로 보냈습니다.,1
[국세청] 쿠폰 지급 대상 인증번호 5055,2
장 봐야 할 것 있어?,0
자료 메일로 보냈습니다.,1
[우체국] 쿠폰 지급 대상 https://tinyurl.com/abc123 인증번호 2245,2
숙제 사진 보내줄게.,1
장 봐야 할 것 있어?,0
회의 시간이 변경되었습니다.,1
과학 수행평가 준비했어?,1
[우체국] 비밀번호 만료 예정,3
과학 수행평가 준비했어?,1
[쿠팡] 모바일 청첩장 확인,4
내일 모의고사 범위 알려줘.,1
[CJ대한통운] 주소 오류로 배송 보류 https://bit.ly/4A12BC 인증번호 6820,2
회의 시간이 변경되었습니다.,1
조심히 와.,0
[국세청] 배송지 정보 확인 필요,2
[국세청] 배송지 정보 확인 필요 https://secure-check.kr,2
[카카오] 계정 보호를 위해 재인증,3
[CJ대한통운] 본인 인증 필요 인증번호 9824,3
[네이버] 쿠폰 지급 대상 인증번호 5773,2
내일 오후 2시에 만납시다.,1
내일 오후 2시에 만납시다.,1
[CJ대한통운] 해외 결제 승인 확인 https://secure-check.kr,4
저녁 먹고 들어와.,0
자료 메일로 보냈습니다.,1
[쿠팡] 모바일 청첩장 확인 인증번호 6781,4
회의 시간이 변경되었습니다.,1
[신한은행] 주문 결제 오류 https://verify-user.net 인증번호 6620,2
[국민은행] 본인 인증 필요,3
숙제 사진 보내줄게.,1
[카카오] 계좌 이용 제한 예정,4
[국세청] 해외 결제 승인 확인 https://secure-check.kr 인증번호 3441,4
[CJ대한통운] 배송지 정보 확인 필요 https://verify-user.net,2
집 도착하면 연락해.,0
[쿠팡] 비정상 로그인 감지 https://verify-user.net,4
[네이버] 해외 결제 승인 확인 인증번호 8141,4
[국민은행] 계정 보호를 위해 재인증 https://secure-check.kr 인증번호 6489,3
[쿠팡] 본인 인증 필요,3
장 봐야 할 것 있어?,0
[신한은행] 환급금 지급 대상,4
[CJ대한통운] 포인트 소멸 예정,2
[카카오] 비밀번호 만료 예정,3
[국민은행] 본인 인증 필요,3
숙제 사진 보내줄게.,1
주말에 영화 보러 갈래?,0
내일 오후 2시에 만납시다.,1
장 봐야 할 것 있어?,0
[네이버] 배송 완료 전 본인 확인 필요,2
[국민은행] 과태료 조회 안내 https://bit.ly/4A12BC,4
[신한은행] 계정 보호를 위해 재인증 https://secure-check.kr,3
[국민은행] 쿠폰 지급 대상 https://verify-user.net,2
[우체국] 행사 초대장 확인 https://bit.ly/4A12BC,4
집 도착하면 연락해.,0
[네이버] 해외 결제 승인 확인 인증번호 4630,4
숙제 사진 보내줄게.,1
과학 수행평가 준비했어?,1
[우체국] 배송 완료 전 본인 확인 필요,2
숙제 사진 보내줄게.,1
[국세청] 본인 인증 필요 https://verify-user.net,3
과학 수행평가 준비했어?,1
[네이버] 부고장 도착 https://bit.ly/4A12BC 인증번호 3981,4
장 봐야 할 것 있어?,0
[우체국] 쿠폰 지급 대상,2
저녁 먹고 들어와.,0
[카카오] 비정상 로그인 감지,4
장 봐야 할 것 있어?,0
장 봐야 할 것 있어?,0
내일 오후 2시에 만납시다.,1
조심히 와.,0
자료 메일로 보냈습니다.,1
자료 메일로 보냈습니다.,1
[국세청] 환급금 지급 대상,4
내일 모의고사 범위 알려줘.,1
[카카오] 주소 오류로 배송 보류,2
내일 모의고사 범위 알려줘.,1
오늘 게임할래?,0
[CJ대한통운] 비정상 로그인 감지,4
[국민은행] 쿠폰 지급 대상 https://tinyurl.com/abc123,2
[쿠팡] 계좌 이용 제한 예정 https://verify-user.net,4
집 도착하면 연락해.,0
[CJ대한통운] 배송지 정보 확인 필요,2
회의 시간이 변경되었습니다.,1
[CJ대한통운] 과태료 조회 안내 인증번호 1422,4
[네이버] 행사 초대장 확인 인증번호 8498,4
[네이버] 본인 인증 필요 https://verify-user.net,3
[국민은행] 전자문서 도착,4
[국세청] 포인트 소멸 예정 https://verify-user.net,2
[우체국] 주문 결제 오류,2
[신한은행] 배송지 정보 확인 필요,2
[정부24] 계좌 이용 제한 예정,4
조심히 와.,0
자료 메일로 보냈습니다.,1
[네이버] 행사 초대장 확인 https://tinyurl.com/abc123,4
장 봐야 할 것 있어?,0
[네이버] 쿠폰 지급 대상,2
[신한은행] 과태료 조회 안내 인증번호 1815,4
내일 모의고사 범위 알려줘.,1
조심히 와.,0
내일 오후 2시에 만납시다.,1
[신한은행] 해외 결제 승인 확인,4
[정부24] 해외 결제 승인 확인,4
저녁 먹고 들어와.,0
내일 모의고사 범위 알려줘.,1
오늘 게임할래?,0
[CJ대한통운] 비정상 로그인 감지 https://bit.ly/4A12BC,4
내일 오후 2시에 만납시다.,1
내일 모의고사 범위 알려줘.,1
[정부24] 전자문서 도착 https://verify-user.net 인증번호 6802,4
과학 수행평가 준비했어?,1
[카카오] 계좌 이용 제한 예정,4
내일 모의고사 범위 알려줘.,1
[국민은행] 행사 초대장 확인 https://secure-check.kr 인증번호 7172,4
저녁 먹고 들어와.,0
[국세청] 전자문서 도착 https://bit.ly/4A12BC,4
[국세청] 해외 결제 승인 확인,4
주말에 영화 보러 갈래?,0
오늘 게임할래?,0
[신한은행] 포인트 소멸 예정,2
집 도착하면 연락해.,0
회의 시간이 변경되었습니다.,1
[국세청] 계정 보호를 위해 재인증,3
장 봐야 할 것 있어?,0
[국민은행] 해외 결제 승인 확인 https://tinyurl.com/abc123 인증번호 8564,4
숙제 사진 보내줄게.,1
조심히 와.,0
오늘 게임할래?,0
과학 수행평가 준비했어?,1
오늘 게임할래?,0
[네이버] 배송지 정보 확인 필요,2
오늘 게임할래?,0
[신한은행] 전자문서 도착 https://secure-check.kr,4
[네이버] 부고장 도착 인증번호 7293,4
과학 수행평가 준비했어?,1
[우체국] 행사 초대장 확인,4
장 봐야 할 것 있어?,0
[쿠팡] 계좌 이용 제한 예정 https://bit.ly/4A12BC,4
[CJ대한통운] 쿠폰 지급 대상,2
회의 시간이 변경되었습니다.,1
[정부24] 배송지 정보 확인 필요 https://verify-user.net,2
장 봐야 할 것 있어?,0
[쿠팡] 계좌 이용 제한 예정,4
집 도착하면 연락해.,0
장 봐야 할 것 있어?,0
[네이버] 배송 완료 전 본인 확인 필요 인증번호 9830,2
숙제 사진 보내줄게.,1
[우체국] 해외 결제 승인 확인 인증번호 1339,4
